Date,Date,Close,daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal
2015-10-05,10/5/15,28.15,,28.15,28.15,0.0,0.0,0.0,,,0.0,0.0,0.0
2015-10-06,10/6/15,27.62,-0.01882770870337469,27.796666666666667,27.875819475238945,0.0,-1.0,-1.0,,,0.0,0.0,0.0
2015-10-07,10/7/15,29.83,0.08001448225923236,28.958571428571425,28.572849004247402,1.0,0.0,1.0,0.06989198349699512,0.06989198349699513,1.0,0.0,1.0
2015-10-08,10/8/15,30.32,0.016426416359369922,29.684666666666665,29.056043214199875,1.0,0.0,1.0,0.045062856007477205,0.04944446708641025,1.0,0.0,1.0
2015-10-09,10/9/15,30.85,0.017480211081794206,30.286129032258064,29.466212899056234,1.0,0.0,1.0,0.03047349254324695,0.03993969906731154,1.0,0.0,1.0
2015-10-12,10/12/15,28.75,-0.06807131280388978,29.505873015873014,29.32524833523001,1.0,0.0,1.0,0.06043311505909682,0.055061053725035204,0.0,-1.0,-1.0
2015-10-13,10/13/15,29.06,0.010782608695652174,29.281181102362204,29.27904229129015,1.0,0.0,1.0,0.047187807379956426,0.048476544399320524,1.0,0.0,1.0
2015-10-14,10/14/15,29.38,0.0110116999311769,29.33078431372549,29.294925816884824,1.0,0.0,1.0,0.034771198513801276,0.043525488672953534,1.0,0.0,1.0
2015-10-15,10/15/15,29.71,0.011232130701157361,29.520763209393348,29.35481696459857,1.0,0.0,1.0,0.02507965956567648,0.039612342051554714,1.0,0.0,1.0
2015-10-16,10/16/15,31.15,0.04846852911477617,30.33617790811339,29.595253039647986,1.0,0.0,1.0,0.031052721866306577,0.03958863649574482,1.0,0.0,1.0
2015-10-19,10/19/15,30.91,-0.007704654895666074,30.62322911577919,29.760290327816183,1.0,0.0,1.0,0.03084841705023354,0.0373430547506563,1.0,0.0,1.0
2015-10-20,10/20/15,30.91,0.0,30.76664957264957,29.896626873473398,1.0,0.0,1.0,0.022643021502014474,0.03492251858568154,1.0,0.0,1.0
2015-10-21,10/21/15,29.3,-0.05208670333225496,30.03323525821023,29.829349420312997,1.0,0.0,1.0,0.03844543793831106,0.03858996052197345,1.0,0.0,1.0
2015-10-22,10/22/15,29.15,-0.005119453924914752,29.591590673258864,29.756098521858693,0.0,-1.0,-1.0,0.029433611992921643,0.036294392739580975,1.0,0.0,1.0
2015-10-23,10/23/15,30.28,0.03876500857632936,29.935805841242715,29.810370776071252,1.0,0.0,1.0,0.03860848601282467,0.03632815171511349,0.0,-1.0,-1.0
2015-10-26,10/26/15,30.89,0.020145310435931263,30.41291020065614,29.91826072607934,1.0,0.0,1.0,0.027728015922513366,0.03465537007360948,1.0,0.0,1.0
2015-10-27,10/27/15,31.34,0.014567821301392003,30.876458636921974,30.055804376167806,1.0,0.0,1.0,0.01963122743430435,0.03290946648855978,1.0,0.0,1.0
2015-10-28,10/28/15,30.87,-0.014996809189534055,30.87322930614207,30.132294698161513,1.0,0.0,1.0,0.023207570499671804,0.03195182033208013,1.0,0.0,1.0
2015-10-29,10/29/15,29.06,-0.058632977000323994,29.966612923837516,30.034203423858653,0.0,-1.0,-1.0,0.039582687435978425,0.035924112481698994,0.0,-1.0,-1.0
2015-10-30,10/30/15,28.46,-0.020646937370956575,29.21330574350905,29.893643831847548,0.0,-1.0,-1.0,0.028477500597300694,0.03469443017444233,1.0,0.0,1.0
2015-11-02,11/2/15,29.2,0.026001405481377304,29.206652868582186,29.833061175132173,0.0,-1.0,-1.0,0.03712699261088492,0.03412930490952315,0.0,-1.0,-1.0
2015-11-03,11/3/15,29.13,-0.002397260273972579,29.168326425153356,29.772882022706167,0.0,-1.0,-1.0,0.026314006982008253,0.032576474151345056,1.0,0.0,1.0
2015-11-04,11/4/15,29.36,0.007895640233436252,29.264163224001315,29.738187338751565,0.0,-1.0,-1.0,0.01937615846491441,0.031211735653069117,1.0,0.0,1.0
2015-11-05,11/5/15,28.66,-0.023841961852861027,28.96208159399519,29.649106740866316,0.0,-1.0,-1.0,0.021626129321201264,0.030632022587728507,1.0,0.0,1.0
2015-11-06,11/6/15,28.28,-0.013258897418004123,28.621040786833788,29.537733578592142,0.0,-1.0,-1.0,0.01540777205112227,0.02949872246109927,1.0,0.0,1.0
2015-11-09,11/9/15,27.09,-0.04207920792079212,27.855520382009754,29.341439780968994,0.0,-1.0,-1.0,0.021548601853615745,0.030341083963073893,1.0,0.0,1.0
2015-11-10,11/10/15,27.05,-0.0014765596160944972,27.45276018800408,29.160078704207272,0.0,-1.0,-1.0,0.02178394626605096,0.029106275524487177,1.0,0.0,1.0
2015-11-11,11/11/15,26.5,-0.020332717190388205,26.976380092227387,28.952074418507976,0.0,-1.0,-1.0,0.01585652745164968,0.02821478416883489,1.0,0.0,1.0
2015-11-12,11/12/15,26.13,-0.013962264150943482,26.55319004532544,28.733853053549932,0.0,-1.0,-1.0,0.011392704004243236,0.027149305090517686,1.0,0.0,1.0
2015-11-13,11/13/15,25.18,-0.03635667814772292,25.86659502202328,28.461863444962482,0.0,-1.0,-1.0,0.015042801782934467,0.02725443642270036,1.0,0.0,1.0
2015-11-16,11/16/15,25.41,0.009134233518665713,25.63829751090533,28.230506298506235,0.0,-1.0,-1.0,0.02399221779777779,0.026665159495803285,1.0,0.0,1.0
2015-11-17,11/17/15,25.23,-0.00708382526564344,25.434148755405133,28.005035950513893,0.0,-1.0,-1.0,0.01698492464208927,0.02562584105284532,1.0,0.0,1.0
2015-11-18,11/18/15,25.9,0.02655568767340455,25.667074377729683,27.848137886656527,0.0,-1.0,-1.0,0.02420094782089383,0.026336070520797564,1.0,0.0,1.0
2015-11-19,11/19/15,26.32,0.016216216216216273,25.993537188883842,27.735094174681613,0.0,-1.0,-1.0,0.017614264772513568,0.02598305731581077,1.0,0.0,1.0
2015-11-20,11/20/15,26.27,-0.0018996960486322712,26.13176859444594,27.627468330121403,0.0,-1.0,-1.0,0.01537057775528598,0.025001075442497564,1.0,0.0,1.0
2015-11-23,11/23/15,25.2,-0.04073087171678724,25.66588429721619,27.450296838899618,0.0,-1.0,-1.0,0.03029902875708129,0.026008871153261604,0.0,-1.0,-1.0
2015-11-24,11/24/15,25.52,0.012698412698412653,25.592942148607563,27.310254892939913,0.0,-1.0,-1.0,0.028357238412034885,0.02554248806149528,0.0,-1.0,-1.0
2015-11-25,11/25/15,26.06,0.021159874608150497,25.826471074304628,27.220053150899528,0.0,-1.0,-1.0,0.0247275990089921,0.025548158339500724,1.0,0.0,1.0
2015-11-27,11/27/15,25.75,-0.011895625479662275,25.788235537152246,27.11454021640532,0.0,-1.0,-1.0,0.021792505415547704,0.02471378644230498,1.0,0.0,1.0
2015-11-30,11/30/15,25.4,-0.013592233009708798,25.594117768575945,26.992068078610654,0.0,-1.0,-1.0,0.01715652913786169,0.023947230016770387,1.0,0.0,1.0
2015-12-01,12/1/15,25.53,0.005118110236220552,25.562058884287957,26.888094584447867,0.0,-1.0,-1.0,0.014361561930067454,0.023207734004640684,1.0,0.0,1.0
2015-12-02,12/2/15,25.4,-0.0050920485703095375,25.48102944214396,26.78270728078142,0.0,-1.0,-1.0,0.010437025294226998,0.022366285517163943,1.0,0.0,1.0
2015-12-03,12/3/15,25.9,0.019685039370078705,25.690514721072002,26.72043364549564,0.0,-1.0,-1.0,0.01579798896983202,0.022417847661549035,1.0,0.0,1.0
2015-12-04,12/4/15,25.02,-0.03397683397683393,25.355257360535983,26.600898785951426,0.0,-1.0,-1.0,0.028185187391294754,0.023150174211400563,0.0,-1.0,-1.0
2015-12-07,12/7/15,24.46,-0.022382094324540303,24.90762868026798,26.450900132259108,0.0,-1.0,-1.0,0.020767443168575674,0.02280453142511622,1.0,0.0,1.0
2015-12-08,12/8/15,24.99,0.021668029435813363,24.948814340133993,26.348860453118263,0.0,-1.0,-1.0,0.028183934601323877,0.023111465543107813,0.0,-1.0,-1.0
