Date,polarity,nlp_signal
11/4/16,0,0
11/7/16,0,0
11/8/16,0,0
11/9/16,0,0
11/10/16,0,0
11/11/16,0,0
11/14/16,-0.25,-1
11/15/16,0.7,1
11/16/16,-0.8,-1
11/17/16,0.55,1
11/18/16,0,0
11/21/16,0.55,1
11/22/16,0,0
11/23/16,1,1
11/25/16,0,0
11/28/16,0.136363636,1
11/29/16,0,0
11/30/16,0,0
12/1/16,0,0
12/2/16,0.375,1
12/5/16,0.5,1
12/6/16,0,0
12/7/16,0.4,1
12/8/16,0,0
12/9/16,0.5,1
12/12/16,0.214285714,1
12/13/16,0,0
12/14/16,0.25,1
12/15/16,0.65,1
12/16/16,0.016666667,1
12/19/16,0,0
12/20/16,0,0
12/21/16,0.55,1
12/22/16,0,0
12/23/16,-0.4,-1
12/27/16,0,0
12/28/16,0,0
12/29/16,0.016666667,1
12/30/16,-0.3,-1
1/3/17,0.55,1
1/4/17,0,0
1/5/17,0,0
1/6/17,0,0
1/9/17,-0.4,-1
1/10/17,0.375,1
1/11/17,0.7,1
1/12/17,0,0
1/13/17,0,0
1/17/17,0,0
1/18/17,0.55,1
1/19/17,0.25,1
1/20/17,0,0
1/23/17,0,0
1/24/17,0.227272727,1
1/25/17,0,0
1/26/17,-0.5,-1
1/27/17,0.227272727,1
1/30/17,0.227272727,1
1/31/17,0.227272727,1
2/1/17,-0.166666667,-1
2/2/17,0.227272727,1
2/3/17,0,0
2/6/17,-0.8,-1
2/7/17,0.227272727,1
2/8/17,0,0
2/9/17,0,0
2/10/17,0.227272727,1
2/13/17,0,0
2/14/17,0,0
2/15/17,0.227272727,1
2/16/17,-0.5,-1
2/17/17,0,0
2/21/17,0,0
2/22/17,0.2,1
2/23/17,0,0
2/24/17,0,0
2/27/17,0,0
2/28/17,0,0
3/1/17,0,0
3/2/17,0,0
3/3/17,0,0
3/6/17,-0.05,-1
3/7/17,0,0
3/8/17,-1,-1
3/9/17,0.55,1
3/10/17,-0.038541667,-1
3/13/17,0,0
3/14/17,0,0
3/15/17,0,0
3/16/17,0.25,1
3/17/17,0.55,1
3/20/17,0,0
3/21/17,0,0
3/22/17,-0.2,-1
3/23/17,0,0
3/24/17,0,0
3/27/17,0,0
3/28/17,0,0
3/29/17,0,0
3/30/17,0,0
3/31/17,0,0
4/3/17,0.25,1
4/4/17,0,0
4/5/17,0,0
4/6/17,0,0
4/7/17,0,0
4/10/17,0.55,1
4/11/17,0.3125,1
4/12/17,-0.038541667,-1
4/13/17,0.5,1
4/17/17,-0.15,-1
4/18/17,0,0
4/19/17,0,0
4/20/17,0,0
4/21/17,0,0
4/24/17,0,0
4/25/17,0,0
4/26/17,0.902777778,1
4/27/17,0,0
4/28/17,0.15,1
5/1/17,0,0
5/2/17,0.1875,1
5/3/17,0.45,1
5/4/17,0,0
5/5/17,0,0
5/8/17,0.375,1
5/9/17,0.5,1
5/10/17,0,0
5/11/17,-0.077777778,-1
5/12/17,0,0
5/15/17,0,0
5/16/17,0,0
5/17/17,0,0
5/18/17,0.5,1
5/19/17,0,0
5/22/17,0,0
5/23/17,0.5,1
5/24/17,0,0
5/25/17,0,0
5/26/17,0.75,1
5/30/17,0,0
5/31/17,0,0
6/1/17,0,0
6/2/17,-0.5,-1
6/5/17,0.016666667,1
6/6/17,-0.0625,-1
6/7/17,0.5,1
6/8/17,0,0
6/9/17,0,0
6/12/17,0.75,1
6/13/17,0,0
6/14/17,-0.466666667,-1
6/15/17,0,0
6/16/17,0.211038961,1
6/19/17,0,0
6/20/17,0,0
6/21/17,0,0
6/22/17,0.492857143,1
6/23/17,0.55,1
6/26/17,0,0
6/27/17,0,0
6/28/17,0,0
6/29/17,0,0
6/30/17,0.375,1
7/3/17,0.666666667,1
7/5/17,0,0
7/6/17,-0.5,-1
7/7/17,0,0
7/10/17,0,0
7/11/17,0.142424242,1
7/12/17,-0.018181818,-1
7/13/17,0.016666667,1
7/14/17,0,0
7/17/17,0,0
7/18/17,0,0
7/19/17,-0.25,-1
7/20/17,0,0
7/21/17,0.575,1
7/24/17,0,0
7/25/17,-0.5,-1
7/26/17,-0.166666667,-1
7/27/17,0,0
7/28/17,0,0
7/31/17,0.136363636,1
8/1/17,0,0
8/2/17,0.35,1
8/3/17,0.478787879,1
8/4/17,1,1
8/7/17,0,0
8/8/17,0,0
8/9/17,0.5,1
8/10/17,0,0
8/11/17,0,0
8/14/17,0.016666667,1
8/15/17,0,0
8/16/17,0,0
8/17/17,0,0
8/18/17,0,0
8/21/17,0.227272727,1
8/22/17,0,0
8/23/17,0,0
8/24/17,0,0
8/25/17,0.5,1
8/28/17,0,0
8/29/17,0.266666667,1
8/30/17,0,0
8/31/17,0,0
9/1/17,0,0
9/5/17,-0.0325,-1
9/6/17,0,0
9/7/17,0,0
9/8/17,0,0
9/11/17,0,0
9/12/17,0,0
9/13/17,0.016666667,1
9/14/17,0,0
9/15/17,0,0
9/18/17,0.4375,1
9/19/17,0,0
9/20/17,0.016666667,1
9/21/17,0,0
9/22/17,0,0
9/25/17,0,0
9/26/17,0.266666667,1
9/27/17,0,0
9/28/17,0,0
9/29/17,0,0
10/2/17,0,0
10/3/17,-0.5,-1
10/4/17,-0.25,-1
10/5/17,0,0
10/6/17,0.7,1
10/9/17,0.55,1
10/10/17,0,0
10/11/17,0,0
10/12/17,0,0
10/13/17,0,0
10/16/17,0,0
10/17/17,0.7,1
10/18/17,0,0
10/19/17,0,0
10/20/17,0.016666667,1
10/23/17,0,0
10/24/17,0.333333333,1
10/25/17,-0.055555556,-1
10/26/17,0.333333333,1
10/27/17,-0.375,-1
10/30/17,0,0
10/31/17,-0.291666667,-1
11/1/17,0,0
11/2/17,0,0
11/3/17,0,0
11/6/17,0,0
