,trend_kst,trend_kst_sig,trend_kst_diff,Zero,converted,side,signal,entry/exit
0,35.1717173145533,35.1717173145533,0.0,0,-1,,0.0,
1,25.4267838514244,30.299250582988854,-4.872466731564452,0,-1,,0.0,0.0
2,49.26821311787579,36.62223809461782,12.64597502325796,0,1,,1.0,1.0
3,65.69366941562917,43.89009592487065,21.80357349075851,0,1,,1.0,0.0
4,79.44693060747869,51.00146286139227,28.44546774608641,0,1,,1.0,0.0
5,75.74507258199806,55.12539781482658,20.619674767171496,0,1,,1.0,0.0
6,74.72942257838696,57.92597278104949,16.803449797337485,0,1,,1.0,0.0
7,75.43862041369043,60.115053735129614,15.323566678560836,0,1,,1.0,0.0
8,77.33857709737799,62.0287785531572,15.309798544220788,0,1,,1.0,0.0
9,84.15391667514345,67.47124514877834,16.682671526365127,0,1,,1.0,0.0
10,91.76693700936552,74.84237327743845,16.92456373192708,0,1,,1.0,0.0
11,100.44179564202005,80.52832689123225,19.913468750787803,0,1,,1.0,0.0
12,97.8448880163788,84.10068451353777,13.744203502841016,0,1,,1.0,0.0
13,93.59312174655642,85.67248352899088,7.920638217565553,0,1,,1.0,0.0
14,91.63421004246996,87.43794324682106,4.1962667956488815,0,1,,1.0,0.0
15,97.65596176277118,89.98533648953043,7.670625273240759,0,1,,1.0,0.0
16,105.23840462319369,93.2964236239197,11.941980999274024,0,1,,1.0,0.0
17,106.69437203006215,96.55817861644013,10.136193413622037,0,1,,1.0,0.0
18,100.91564062866371,98.42059238905348,2.495048239610228,0,1,,1.0,0.0
19,88.82657502079016,98.093885501434,-9.267310480643843,0,-1,,0.0,-1.0
20,82.33290868539531,96.0817869506979,-13.748878265302595,0,-1,,0.0,0.0
21,75.48949295425909,93.59785416601794,-18.108361211758837,0,-1,,0.0,0.0
22,71.30868561558356,91.12180570702095,-19.813120091437387,0,-1,,0.0,0.0
23,64.55024950784734,88.11247675872956,-23.562227250882202,0,-1,,0.0,0.0
24,51.24327901443254,82.95551200891414,-31.71223299448161,0,-1,,0.0,0.0
25,35.29426903678723,75.18394138820231,-39.88967235141509,0,-1,,0.0,0.0
26,17.51495665840824,65.27511745801854,-47.7601607996103,0,-1,,0.0,0.0
27,3.2412597818502835,54.42240847503928,-51.181148693189,0,-1,,0.0,0.0
28,-7.424621061438874,43.72783113256938,-51.152452194008255,0,-1,,0.0,0.0
29,-21.68060567496705,32.170773981418016,-53.851379656385056,0,-1,,0.0,0.0
30,-38.963976783254985,19.45372178836089,-58.417698571615865,0,-1,,0.0,0.0
31,-57.20079002579339,5.174891161541228,-62.375681187334614,0,-1,,0.0,0.0
32,-71.73308918652664,-9.967702026722547,-61.7653871598041,0,-1,,0.0,0.0
33,-80.17873534166941,-24.57014806628943,-55.60858727537996,0,-1,,0.0,0.0
34,-86.59986509687805,-38.11394074780779,-48.48592434907025,0,-1,,0.0,0.0
35,-95.3896095177401,-50.65889254515761,-44.73071697258249,0,-1,,0.0,0.0
36,-103.21085187955448,-62.48690495198037,-40.72394692757412,0,-1,,0.0,0.0
37,-109.16949434797465,-73.79189087270656,-35.377603475268096,0,-1,,0.0,0.0
38,-113.0598374738328,-83.94513885035829,-29.114698623474514,0,-1,,0.0,0.0
39,-113.95198234749657,-92.27713946860737,-21.674842878889194,0,-1,,0.0,0.0
40,-113.18280558829218,-98.49736341999613,-14.685442168296065,0,-1,,0.0,0.0
41,-112.0388235595247,-102.97577835032922,-9.063045209195481,0,-1,,0.0,0.0
42,-110.56172680856452,-106.35166629109536,-4.210060517469188,0,-1,,0.0,0.0
43,-112.83589736222784,-109.26678098724531,-3.5691163749824995,0,-1,,0.0,0.0
44,-115.0774001474102,-111.45431327943086,-3.623086867979296,0,-1,,0.0,0.0
45,-111.35115832641199,-112.35879177352615,1.0076334471141737,0,1,,1.0,1.0
46,-110.65228565188913,-112.52354636284998,1.8712607109608683,0,1,,1.0,0.0
47,-105.05300325945277,-111.63389811680777,6.580894857354991,0,1,,1.0,0.0
48,-102.77329470015272,-110.39182171154732,7.618527011394576,0,1,,1.0,0.0
49,-98.48283922399678,-108.75849211551449,10.275652891517725,0,1,,1.0,0.0
50,-98.444241447511,-107.2479829919574,8.803741544446396,0,1,,1.0,0.0
51,-97.11837809518416,-105.75427757935957,8.635899484175397,0,1,,1.0,0.0
52,-101.72225673644752,-104.51942862093954,2.7971718844920157,0,1,,1.0,0.0
53,-105.04047190077709,-103.40421437131359,-1.6362575294634922,0,-1,,0.0,-1.0
54,-108.82638243744431,-103.12368371698385,-5.7026987204604325,0,-1,,0.0,0.0
55,-112.34659068435448,-103.31193983170223,-9.034650852652234,0,-1,,0.0,0.0
56,-113.84322719019406,-104.2886313795624,-9.554595810631652,0,-1,,0.0,0.0
57,-120.53766384207131,-106.2624501731089,-14.275213668962396,0,-1,,0.0,0.0
58,-124.14618371976368,-109.11393289486078,-15.032250824902887,0,-1,,0.0,0.0
59,-126.43507889890871,-112.22402594501608,-14.21105295389262,0,-1,,0.0,0.0
60,-128.1491725423814,-115.67189199470468,-12.477280547676726,0,-1,,0.0,0.0
61,-125.99068979600551,-118.36838455687777,-7.622305239127741,0,-1,,0.0,0.0
62,-125.81075859890423,-120.67619419000302,-5.134564408901227,0,-1,,0.0,0.0
63,-126.17912420253971,-122.60427660834694,-3.5748475941927613,0,-1,,0.0,0.0
64,-126.52120244775317,-124.17923347094678,-2.3419689768063416,0,-1,,0.0,0.0
65,-130.29146660189085,-126.00681562780198,-4.284650974088848,0,-1,,0.0,0.0
66,-135.56991941301467,-127.67706624679572,-7.892853166218941,0,-1,,0.0,0.0
67,-141.51352801091386,-129.60677116803464,-11.906756842879222,0,-1,,0.0,0.0
68,-146.44195374814947,-131.82975726239474,-14.612196485754735,0,-1,,0.0,0.0
69,-153.9607204442263,-134.69770702926638,-19.263013414959914,0,-1,,0.0,0.0
70,-160.32684244788152,-138.51283510169708,-21.81400734618444,0,-1,,0.0,0.0
71,-174.00366516525588,-143.8676024979584,-30.136062667297526,0,-1,,0.0,0.0
72,-189.7476351002068,-150.93077037547692,-38.81686472472985,0,-1,,0.0,0.0
73,-201.6464524572216,-159.27802037652896,-42.3684320806926,0,-1,,0.0,0.0
74,-210.70181242618577,-168.2125032458951,-42.48930918029069,0,-1,,0.0,0.0
75,-216.6357515320041,-177.21981792578282,-39.41593360622127,0,-1,,0.0,0.0
76,-226.5856865299614,-186.67227998345473,-39.91340654650668,0,-1,,0.0,0.0
77,-234.52070609653805,-196.45880802216462,-38.06189807437346,0,-1,,0.0,0.0
78,-241.98153735302498,-206.23889878980887,-35.7426385632161,0,-1,,0.0,0.0
79,-247.4623576584588,-215.92062270209527,-31.541734956363516,0,-1,,0.0,0.0
80,-251.2878669513979,-224.5077562338888,-26.780110717509107,0,-1,,0.0,0.0
81,-247.10859211911102,-230.88119590265597,-16.227396216455105,0,-1,,0.0,0.0
82,-244.8466967334621,-235.68122304446044,-9.165473689001685,0,-1,,0.0,0.0
83,-242.9202075093946,-239.26104472037247,-3.659162789022105,0,-1,,0.0,0.0
84,-239.22437892505909,-241.77089220848973,2.5465132834306416,0,1,,1.0,1.0
85,-240.4316442241113,-243.30933195228414,2.8776877281728734,0,1,,1.0,0.0
86,-239.75389083244136,-243.89079692294,4.1369060904986545,0,1,,1.0,0.0
87,-238.46650501866156,-243.50023777467743,5.033732756015894,0,1,,1.0,0.0
88,-236.3954821286457,-242.2705849380316,5.8751028093858215,0,1,,1.0,0.0
89,-237.4020569636304,-240.7277171616129,3.3256601979825287,0,1,,1.0,0.0
90,-233.15948665008727,-239.1778165539436,6.0183299038563405,0,1,,1.0,0.0
91,-228.3899626724673,-237.34929054716642,8.959327874699113,0,1,,1.0,0.0
92,-209.87095551632092,-233.6771514368249,23.80619592050397,0,1,,1.0,0.0
93,-189.6288620449604,-228.16653845014727,38.53767640518692,0,1,,1.0,0.0
94,-171.9104891040129,-220.55307677013639,48.64258766612341,0,1,,1.0,0.0
95,-150.96520086581302,-210.6876667738443,59.7224659080313,0,1,,1.0,0.0
96,-128.95924494994878,-198.5201934328762,69.56094848292742,0,1,,1.0,0.0
97,-103.99939244012668,-183.80951680081853,79.81012436069184,0,1,,1.0,0.0
98,-83.9364256493017,-166.75777998811537,82.82135433881363,0,1,,1.0,0.0
99,-60.012025195379465,-147.51917315981447,87.507147964435,0,1,,1.0,0.0
100,-38.669601102129675,-126.4391329853325,87.76953188320282,0,1,,1.0,0.0
101,-20.610422768612302,-105.41018490225376,84.79976213364147,0,1,,1.0,0.0
102,0.4813951664713101,-84.28682298987249,84.76821815634379,0,1,,1.0,0.0
103,18.711011626813146,-63.10665624200293,81.81766786881606,0,1,,1.0,0.0
104,38.81837692828918,-42.019592042658246,80.83796897094744,0,1,,1.0,0.0
105,55.426231994421336,-21.532316826617123,76.95854882103846,0,1,,1.0,0.0
106,69.64921815701183,-2.238026760268397,71.88724491728021,0,1,,1.0,0.0
107,76.89437821206813,15.632062557661586,61.262315654406535,0,1,,1.0,0.0
108,77.1676995876503,30.874254200220452,46.293445387429855,0,1,,1.0,0.0
109,78.10487969526629,43.84919651104222,34.255683184224054,0,1,,1.0,0.0
110,74.87253310272052,54.4584138300792,20.414119272641326,0,1,,1.0,0.0
111,66.23611750826885,61.76449409027892,4.471623417989925,0,1,,1.0,0.0
112,54.802651207550575,65.7746762659164,-10.972025058365844,0,-1,,0.0,-1.0
113,42.10109276939093,66.13942247048327,-24.038329701092334,0,-1,,0.0,0.0
114,26.181078384981717,62.889960958323314,-36.708882573341604,0,-1,,0.0,0.0
115,13.339488763074375,56.63332435899692,-43.293835595922566,0,-1,,0.0,0.0
116,3.378492560885607,48.46489261997665,-45.08640005909106,0,-1,,0.0,0.0
117,-10.407976974383823,38.73426189086175,-49.142238865245574,0,-1,,0.0,0.0
118,-19.254063652992297,27.916601518833023,-47.17066517182532,0,-1,,0.0,0.0
119,-30.628341099096676,16.194282163075563,-46.82262326217222,0,-1,,0.0,0.0
120,-40.536209853737134,4.330690233963785,-44.86690008770092,0,-1,,0.0,0.0
121,-43.58965776519664,-6.601788540785903,-36.98786922441072,0,-1,,0.0,0.0
122,-46.822744768557214,-16.482214933891257,-30.340529834665965,0,-1,,0.0,0.0
123,-51.858683050682856,-25.153299537853986,-26.70538351282888,0,-1,,0.0,0.0
124,-52.2911839468594,-32.44559650562441,-19.84558744123499,0,-1,,0.0,0.0
125,-53.06689753551965,-38.717306516336095,-14.34959101918355,0,-1,,0.0,0.0
126,-47.941742465360925,-42.88772490422245,-5.054017561138488,0,-1,,0.0,0.0
127,-43.71478707463916,-45.60558306218322,1.89079598754406,0,1,,1.0,1.0
128,-38.49867052200287,-46.480064109172794,7.981393587169919,0,1,,1.0,0.0
129,-32.368128717455434,-45.572499538474815,13.20437082101938,0,1,,1.0,0.0
130,-30.03107333976909,-44.06599015787175,14.034916818102655,0,1,,1.0,0.0
131,-26.298434846097766,-41.785511277598474,15.48707643150071,0,1,,1.0,0.0
132,-22.18368778594249,-38.488289581516206,16.304601795573713,0,1,,1.0,0.0
133,-15.379669183626374,-34.387010163379195,19.007340979752826,0,1,,1.0,0.0
